LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA50420,37,198,148,126,258,232,116,173,15,1308,36,138,107,76,198,234,95,138,163,1180,579,3262,2528,2511,3615,3354,1604,2361,375,20178
LGA50490,42,135,123,168,361,378,166,281,21,1671,57,182,141,156,416,472,166,301,368,2260,1782,3147,3255,4276,8879,8866,5284,8250,793,44530
LGA50560,0,0,0,6,0,3,3,0,0,10,0,0,0,4,3,4,0,6,3,23,19,70,52,64,42,83,29,124,8,493
LGA50630,8,4,0,0,9,3,8,43,0,77,7,5,4,0,3,4,3,10,21,54,187,101,97,74,107,185,256,1059,53,2121
LGA50770,3,0,0,6,0,0,0,0,0,14,6,7,0,0,0,3,0,4,4,29,44,73,77,81,46,86,40,199,12,656
LGA50840,4,10,7,10,9,8,8,9,0,65,5,17,3,8,8,6,3,12,19,86,68,274,205,198,188,214,164,307,43,1663
LGA50910,0,0,0,0,4,3,0,0,0,12,8,3,3,3,3,0,0,3,8,21,22,40,43,64,39,51,38,123,14,428
LGA50980,3,25,26,34,64,63,29,76,8,323,16,21,7,20,33,31,15,67,41,257,318,444,438,653,1155,1043,631,1688,134,6513
LGA51080,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,4,3,15,27,35,21,29,22,49,44,130,10,354
LGA51120,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,5,0,3,6,14,11,45,36,37,29,90,34,125,11,412
LGA51190,25,121,74,115,193,205,120,165,20,1032,51,101,61,59,138,157,73,177,170,986,1053,2527,2189,2635,4265,3727,2413,4412,431,23637
LGA51260,19,84,62,64,71,99,42,57,7,509,10,75,50,44,67,79,36,72,100,527,555,2169,1740,2015,2057,2044,1109,1725,243,13651
