LGA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA30450,3,0,0,18,17,4,3,0,0,23,35,0,8,5,0,44,21,0,5,0,0,32,23,0,0,6,0,28,8,0,4,3,0,18,3,0,3,0,0,3,0,0,0,0,0,0,216,12,33,20,3,284
LGA30760,11,3,0,87,50,3,7,11,0,68,58,12,11,8,4,86,58,8,21,16,3,106,36,4,18,15,0,77,24,6,12,13,0,53,10,5,7,4,0,29,3,0,3,7,0,16,550,61,142,87,15,858
LGA30900,4,0,0,12,10,0,0,0,3,11,18,0,0,3,0,20,12,0,0,0,0,12,3,0,3,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,106,3,7,4,3,122
LGA31000,4249,647,442,84602,69142,6119,4531,691,501,80983,60419,5442,4085,642,431,71023,48044,4634,3515,568,381,57146,29465,3351,2882,559,323,36579,10922,2042,1792,478,217,15445,2737,843,814,322,117,4831,948,420,443,254,161,2225,637803,39297,33460,5901,4507,720965
LGA31750,0,0,0,10,9,0,3,4,0,18,5,0,3,0,0,14,10,0,5,3,0,25,9,3,6,0,0,17,6,0,3,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,116,4,22,11,5,165
LGA31820,285,83,39,3336,2884,272,332,90,22,3594,2952,268,381,113,35,3738,2626,257,362,101,39,3389,1725,188,302,112,35,2355,580,96,163,94,22,956,139,48,73,85,8,355,48,25,63,67,16,221,25840,1740,2468,880,318,31246
LGA31900,81,24,13,750,641,76,89,28,3,840,638,72,102,30,11,859,585,74,98,47,19,828,446,79,83,30,14,654,156,28,68,36,6,292,40,27,32,29,4,133,14,20,23,19,8,94,5713,529,734,286,121,7388
LGA31950,0,0,0,51,46,0,0,0,0,42,31,0,3,0,0,38,41,3,0,0,0,46,21,3,0,3,0,26,5,0,3,0,0,13,4,0,0,0,0,7,0,0,0,0,0,0,399,11,10,3,3,428
LGA32080,600,109,70,8060,6550,650,635,119,75,8034,5871,636,672,102,75,7352,4901,589,654,101,59,6305,3231,393,490,93,52,4259,1249,229,306,96,32,1908,336,101,147,62,27,671,100,55,68,58,23,311,56953,4065,4832,944,675,67472
LGA32250,9,0,0,80,68,7,4,0,3,84,67,10,4,3,4,90,99,5,12,0,3,129,46,6,3,3,0,59,13,3,0,5,0,25,6,3,6,0,0,21,0,0,0,0,0,3,708,62,51,25,22,867
LGA32260,105,41,9,1086,980,118,127,42,26,1289,1025,121,135,51,18,1350,994,105,178,51,17,1349,691,82,174,63,19,1025,256,48,81,60,10,461,75,26,34,39,3,190,26,12,44,44,7,136,9020,758,1100,469,183,11533
LGA32270,83,40,17,1907,1537,126,105,41,29,1843,1445,145,131,51,20,1787,1097,118,122,61,18,1415,562,65,104,55,10,797,190,30,67,28,10,328,59,33,26,24,3,149,20,12,14,32,5,79,13579,850,917,423,204,15965
LGA32310,29,31,12,494,407,46,27,16,12,508,326,25,41,38,8,436,310,34,60,30,8,444,197,28,37,37,12,300,89,17,26,23,0,160,29,3,14,19,0,58,11,7,12,5,3,44,3372,251,327,227,76,4251
LGA32330,0,0,0,43,47,0,3,0,3,52,42,0,0,0,0,44,50,0,4,0,0,58,29,3,0,0,0,33,8,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,3,379,3,13,5,6,405
LGA32450,3,0,6,323,290,24,7,5,3,323,305,22,6,0,3,338,227,26,10,3,3,271,123,9,7,4,5,152,42,9,7,3,0,55,5,4,3,8,0,24,0,3,0,6,0,13,2632,133,66,35,30,2900
LGA32500,25,12,3,322,249,11,22,5,4,286,261,10,31,10,4,318,253,23,16,7,5,303,150,11,26,7,3,200,51,4,15,15,3,82,10,0,6,9,3,23,4,0,0,7,0,12,2386,95,177,75,36,2775
LGA32600,3,3,0,17,11,0,3,4,0,24,10,6,3,9,0,29,12,0,8,3,0,22,10,0,3,0,0,9,6,0,0,3,0,11,0,0,0,0,0,0,3,0,0,0,0,3,115,12,29,25,3,184
LGA32750,3,0,0,20,18,0,5,3,0,31,17,0,4,0,0,26,25,3,3,3,0,31,24,3,6,0,0,26,9,3,7,0,0,15,0,0,0,0,0,3,0,0,0,3,0,5,215,18,30,18,5,281
LGA32770,0,0,0,31,36,0,0,0,0,40,32,3,0,0,0,32,36,0,0,0,0,37,16,0,0,0,0,17,10,0,0,0,0,10,4,0,0,0,0,4,3,0,0,0,0,3,349,3,4,0,3,361
LGA32810,90,14,13,593,469,73,79,18,11,637,501,68,89,13,4,681,424,59,95,22,3,609,280,50,77,22,8,431,108,31,52,15,3,212,31,9,24,18,7,91,18,9,19,13,5,59,4311,428,632,162,77,5607
LGA33100,4,3,0,35,17,3,7,7,0,34,20,8,10,9,0,46,22,4,3,5,0,36,14,3,6,7,0,32,8,0,0,0,0,14,4,0,3,3,0,8,0,0,0,5,0,7,190,28,41,50,8,310
LGA33200,13,7,0,69,55,5,18,7,0,87,62,6,14,5,0,91,57,9,11,12,0,90,38,0,17,9,0,67,12,8,14,10,0,48,3,3,16,9,3,30,3,0,12,9,0,28,502,63,141,83,10,797
LGA33220,288,61,35,3351,2980,246,302,66,39,3631,2789,265,343,80,36,3519,2615,249,356,107,39,3365,1607,203,290,94,52,2243,493,108,156,67,23,847,136,31,65,45,16,291,42,20,51,39,19,181,24073,1621,2377,694,374,29137
LGA33360,183,43,29,3020,2575,179,173,57,18,3005,2444,189,169,64,18,2887,1975,147,172,63,19,2375,1057,81,153,62,17,1372,332,46,101,57,7,553,87,28,49,33,10,208,40,11,20,17,10,99,22205,1146,1429,482,202,25466
LGA33430,2343,436,207,27267,20433,3317,2435,461,231,26870,18480,2997,2288,463,238,24468,15424,2486,2168,452,214,20745,9850,2001,1727,365,179,14120,4221,1326,1156,346,113,7159,1205,554,466,196,78,2501,425,239,194,137,82,1088,194940,21324,18302,3959,2168,240694
LGA33610,56,14,3,475,352,80,80,36,14,559,363,56,59,27,8,512,360,50,90,34,12,543,191,35,66,40,4,340,80,32,45,28,3,191,27,7,14,26,4,81,17,5,19,33,4,79,3443,408,544,292,67,4757
LGA33620,180,57,14,1650,1536,141,227,55,14,1977,1482,149,260,57,13,1961,1314,131,279,99,22,1849,789,90,274,82,9,1245,227,68,146,90,10,547,83,16,83,65,11,256,32,8,52,48,11,150,12111,927,1833,674,185,15725
LGA33800,37,15,10,424,372,32,47,18,5,476,457,48,58,23,3,598,404,32,63,31,8,538,261,34,57,23,11,380,116,24,56,34,5,230,29,15,24,18,8,87,7,14,36,37,8,102,3295,269,434,223,81,4308
LGA33830,0,0,0,7,4,0,0,0,0,9,14,0,0,0,0,10,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,8,0,0,63
LGA33960,439,85,51,7131,5987,424,469,71,64,7014,5519,430,431,74,72,6526,4510,331,408,76,51,5369,2672,205,311,57,32,3276,921,126,174,71,28,1319,236,52,68,31,14,391,74,24,39,38,10,183,55300,2722,3512,700,539,62777
LGA33980,64,24,13,1950,1553,87,73,23,14,1746,1371,78,67,32,21,1570,988,54,68,39,17,1157,527,42,43,49,9,669,141,26,31,21,4,225,32,11,13,22,3,90,20,3,12,14,4,52,12758,560,573,293,150,14328
LGA34420,0,0,0,39,30,0,0,0,0,30,30,0,3,0,0,35,20,0,3,0,0,26,18,0,3,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,242,0,12,0,0,261
LGA34530,97,34,7,895,753,102,111,30,11,1017,755,85,142,48,14,1049,610,82,149,43,7,887,443,56,143,37,5,682,116,40,89,39,10,286,39,14,31,20,7,106,20,0,30,23,6,79,6753,622,1045,335,106,8866
LGA34570,0,0,0,69,64,0,0,0,0,65,62,3,0,0,0,64,41,0,0,0,0,44,22,0,0,0,0,25,6,0,0,0,0,6,4,0,0,0,0,4,3,0,0,0,0,3,532,8,6,0,3,544
LGA34580,98,35,18,1147,992,100,125,39,19,1269,914,86,129,41,10,1184,821,90,129,35,17,1090,505,63,131,45,5,749,210,46,79,50,3,387,71,11,44,48,6,182,32,11,25,27,9,101,9030,639,976,384,157,11183
LGA34590,837,185,87,9896,7616,999,903,156,67,9748,6825,964,773,165,74,8804,5680,905,741,156,80,7567,3645,607,633,125,48,5068,1337,359,367,102,31,2200,342,116,102,51,23,630,102,48,38,26,24,237,73553,6607,6579,1420,834,88994
LGA34710,10,4,0,155,156,18,15,16,3,201,168,19,24,10,0,228,149,14,46,17,0,222,113,12,18,21,3,173,39,5,16,11,0,79,6,0,0,12,0,23,6,3,5,14,0,26,1461,128,184,119,25,1920
LGA34770,306,74,47,4963,4454,413,355,105,45,5375,4209,403,349,121,49,5121,3627,335,356,116,56,4489,2192,244,293,127,47,2901,679,109,174,107,25,1096,187,52,107,67,11,421,53,33,60,63,42,253,38737,2644,2753,974,498,45605
LGA34800,8,6,0,149,136,4,7,6,0,155,103,8,6,6,0,123,97,9,4,4,0,123,43,0,12,10,0,58,16,3,4,3,3,38,3,3,3,8,3,19,0,0,3,3,0,3,1032,51,71,51,17,1226
LGA34830,0,0,0,14,19,0,0,0,0,14,12,0,0,0,0,12,12,0,0,0,0,13,4,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,127,0,3,0,0,128
LGA34860,72,46,10,750,585,67,74,46,9,788,520,69,82,72,16,761,398,66,90,52,10,626,293,36,67,65,8,473,84,21,34,70,3,214,34,18,43,51,7,149,13,7,57,47,7,133,5213,488,702,518,116,7036
LGA34880,102,32,14,819,636,77,140,36,15,907,656,91,122,37,24,934,537,74,132,52,10,812,417,56,113,39,10,630,129,22,72,46,11,285,49,20,32,44,5,153,17,15,34,24,4,96,5458,506,906,367,125,7361
LGA35010,1197,230,111,12896,10050,1399,1251,259,94,13047,8955,1293,1232,218,89,11790,7302,1097,1141,244,86,9876,4513,754,907,193,97,6459,1661,468,541,164,65,2899,440,167,243,86,39,975,134,65,90,54,37,383,91982,8627,9412,1999,969,112990
LGA35250,0,0,0,12,8,0,0,0,0,8,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,48
LGA35300,25,7,3,993,869,50,39,4,11,973,894,36,23,3,13,966,630,37,38,4,7,714,345,22,25,15,3,408,151,12,9,5,3,180,51,6,12,4,3,78,10,4,3,3,3,30,8625,282,263,70,82,9320
LGA35600,25,11,3,206,126,15,31,12,6,195,155,23,34,22,3,243,172,17,29,18,5,231,103,11,34,18,6,165,35,3,13,12,7,72,8,0,10,15,0,29,5,0,3,13,0,23,1467,113,236,131,32,1987
LGA35670,0,0,0,28,25,0,0,0,0,27,28,0,0,0,0,28,13,0,0,0,0,14,6,0,0,0,0,11,4,0,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,208,3,9,0,0,224
LGA35740,345,48,19,2433,1742,385,362,61,20,2578,1686,353,378,71,29,2525,1394,347,353,65,34,2188,1017,272,302,69,17,1674,374,162,153,45,10,750,125,65,71,32,5,300,38,31,24,20,7,123,15070,2316,2486,513,201,20581
LGA35760,59,36,4,415,337,40,76,43,13,505,290,51,97,45,10,487,296,37,73,51,11,459,250,30,76,46,10,399,94,18,56,52,11,234,31,16,43,55,0,140,4,5,40,48,4,104,2986,259,617,445,75,4374
LGA35780,0,0,3,89,75,0,4,0,0,81,71,5,5,0,0,85,58,4,4,3,0,68,47,0,3,0,0,47,10,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,761,20,25,12,7,822
LGA35790,0,0,0,58,78,4,0,0,0,85,70,0,0,0,0,70,71,0,0,0,0,67,38,0,0,0,0,38,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,569,11,4,3,3,591
LGA35800,10,5,0,79,68,3,7,8,0,92,77,6,29,17,7,136,71,10,17,21,0,126,52,9,26,12,3,99,16,7,14,3,5,42,3,3,13,9,0,30,0,0,7,6,0,18,638,54,142,100,13,945
LGA36070,0,0,0,25,29,0,0,0,3,31,26,0,0,0,0,25,19,0,0,0,0,17,4,0,0,0,0,9,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,198,3,9,0,3,209
LGA36150,4,3,0,37,26,0,3,3,0,37,25,0,7,0,0,31,33,4,10,3,0,48,13,3,6,12,0,29,9,5,5,3,0,21,0,0,0,8,0,11,0,0,0,4,0,3,242,25,37,43,7,365
LGA36250,417,91,35,4327,3372,553,484,88,43,4546,3191,573,497,93,38,4393,2809,587,443,91,36,3970,1797,411,382,102,38,2723,659,235,213,54,18,1171,207,74,95,28,12,422,58,30,45,25,13,179,31995,3878,3479,768,354,40472
LGA36300,8,5,0,77,59,3,5,0,3,76,58,3,3,3,0,62,33,3,7,10,3,51,33,7,3,5,0,47,8,0,3,3,0,16,3,0,0,0,0,11,0,0,3,0,0,7,607,34,60,31,7,734
LGA36370,209,46,34,3745,3433,231,236,60,36,3993,3399,254,258,55,34,3998,3056,215,233,59,38,3608,1781,151,210,53,36,2226,599,59,120,70,19,867,145,27,56,32,3,264,59,16,47,42,9,175,32317,1491,1936,537,332,36613
LGA36510,157,40,24,1332,1060,155,185,42,19,1457,1011,160,199,55,18,1446,878,152,230,68,21,1340,562,107,211,85,14,984,228,62,161,91,14,557,62,40,87,64,7,256,25,19,59,66,12,180,8995,1033,1588,593,197,12414
LGA36580,70,28,9,619,518,63,69,28,9,674,498,62,106,27,9,697,445,66,113,51,14,683,279,47,91,53,3,476,102,29,60,40,8,236,41,14,33,44,4,138,9,4,19,28,13,71,4492,417,724,346,119,6093
LGA36630,118,42,23,1133,953,98,124,46,17,1245,1022,72,127,44,19,1286,858,75,160,74,16,1179,575,60,151,68,20,872,196,30,141,84,15,469,50,17,84,45,14,203,26,12,59,51,13,161,8487,553,1179,539,190,10946
LGA36660,124,34,12,1370,1140,132,169,49,22,1511,1178,119,193,60,21,1572,1066,116,195,74,16,1474,752,83,200,94,32,1152,260,76,139,101,14,586,72,24,84,64,10,256,36,18,52,78,21,192,10160,868,1442,638,205,13319
LGA36720,1387,256,107,12665,9611,1598,1415,262,104,12993,8860,1581,1487,299,115,12345,7552,1317,1395,272,119,10648,4857,961,1118,255,91,7279,1754,498,612,252,40,3156,473,202,272,154,19,1126,137,82,135,110,41,494,84046,9719,10554,2389,1029,107729
LGA36820,116,27,10,845,708,81,132,53,18,981,712,100,143,54,23,1027,693,89,161,54,10,1012,540,71,145,56,13,824,202,24,99,53,16,398,60,34,56,38,8,199,33,8,31,33,8,122,6314,569,1088,434,153,8561
LGA36910,478,107,70,7319,6294,638,585,174,60,7748,6019,563,573,197,61,7412,5281,537,639,191,81,6728,3395,429,600,205,56,4680,1303,214,412,203,29,2170,356,112,219,148,25,858,113,51,143,145,38,488,58128,4100,4771,1727,638,69361
LGA36950,9,0,3,183,136,9,0,0,0,147,136,9,9,0,0,155,133,4,12,0,0,156,77,8,10,0,0,91,28,0,4,3,0,38,5,4,3,0,0,15,3,0,0,3,0,10,1347,61,71,7,22,1505
LGA36960,9,0,0,112,105,0,3,0,0,108,99,0,0,0,3,107,95,0,4,0,0,103,54,0,0,0,0,50,15,0,0,0,0,18,0,0,0,0,0,3,3,0,0,0,0,0,935,17,28,0,4,996
LGA37010,494,101,55,8879,7412,600,590,98,69,8757,6807,554,532,85,60,8035,5634,542,564,112,64,6919,3382,312,439,118,51,4300,1219,185,224,75,38,1734,303,76,89,44,17,525,121,30,44,31,27,244,72205,3717,4322,850,579,81678
LGA37300,7,0,3,134,114,11,7,0,4,135,124,9,0,0,0,141,71,5,0,0,0,76,38,3,8,0,0,52,12,0,3,0,0,17,0,0,0,0,0,0,3,0,0,0,0,3,1017,49,45,4,10,1123
LGA37310,154,61,23,1811,1420,131,149,83,29,1810,1302,130,196,70,25,1723,1029,128,221,113,24,1512,653,109,199,107,20,1084,269,40,149,112,19,591,68,25,96,99,5,292,31,7,75,81,9,213,12571,970,1582,877,240,16235
LGA37340,134,34,21,1579,1255,137,125,38,23,1582,1162,157,170,45,24,1561,1078,138,145,51,22,1437,673,105,148,54,18,1004,237,59,87,48,12,447,62,24,44,30,0,155,23,18,33,25,9,103,12358,975,1164,407,211,15105
LGA37400,7,6,0,46,43,9,9,7,0,61,42,0,4,6,3,59,29,10,6,3,0,54,42,5,8,4,0,60,10,3,7,3,0,20,0,0,3,0,0,13,0,0,5,0,0,5,385,36,63,42,8,537
LGA37550,0,0,0,11,15,0,0,0,0,15,8,0,0,0,0,12,9,0,0,0,0,9,3,0,3,0,0,4,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,84,4,10,0,0,96
LGA37570,0,0,0,10,6,0,0,0,0,6,12,0,0,0,0,12,10,0,0,0,0,14,12,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,74,3,7,0,0,81
LGA37600,0,0,0,52,60,0,0,0,0,65,50,0,0,0,0,53,46,0,0,0,0,46,21,3,0,0,0,20,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,439,8,0,0,3,451
LGA39090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39499,3490,161,185,11589,5792,1637,3758,181,153,11527,5207,1425,3850,168,183,10831,4378,1167,3494,160,168,9364,3084,799,2542,156,159,6745,1210,338,1163,112,67,2887,392,82,335,76,47,924,151,32,114,72,38,410,58103,10357,27359,1522,1571,98920
LGA39799,3,0,0,34,22,0,5,0,0,24,17,0,3,0,0,23,13,0,0,0,0,22,11,0,0,0,0,14,4,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,174,12,15,6,0,202
LGA39898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,387,56,60,13429,12111,522,420,69,85,13210,11099,482,425,58,65,12135,9478,446,387,46,77,10434,5833,321,330,43,64,6590,1996,234,242,39,35,2547,476,88,103,27,20,721,174,42,56,30,21,318,109212,3749,3344,550,795,117645
LGA40120,159,26,11,989,750,144,191,33,16,1139,648,154,210,45,14,1068,631,132,231,42,15,1056,456,120,192,48,13,823,206,85,140,52,7,491,64,38,84,34,3,230,25,19,34,23,3,102,6809,986,1558,352,123,9825
LGA40220,109,29,10,689,476,76,131,20,8,708,509,67,172,30,11,787,506,84,151,34,10,785,365,61,138,42,11,621,156,54,80,39,4,337,42,19,34,39,4,140,20,12,39,31,4,102,4536,509,1075,309,106,6525
LGA40250,0,0,0,50,70,0,0,0,0,73,59,0,0,0,0,56,67,3,0,0,0,68,51,0,3,0,0,53,18,0,0,0,0,18,6,0,3,0,0,11,8,0,0,0,0,8,607,8,8,0,3,627
LGA40310,98,26,16,1142,1009,80,114,22,11,1231,946,84,133,24,13,1197,838,78,119,33,20,1081,567,58,112,42,10,788,201,43,76,46,3,374,49,15,25,31,6,128,18,6,22,28,6,90,8081,561,909,300,129,9974
LGA40430,24,6,0,73,43,18,19,3,0,79,36,5,25,11,0,78,51,11,22,3,0,90,33,6,27,10,0,73,6,5,13,4,3,40,11,0,5,4,0,19,0,0,3,7,0,15,351,79,160,54,15,662
LGA40520,37,12,6,482,440,38,29,19,11,541,430,24,51,17,8,529,418,28,81,14,5,538,306,26,61,22,5,422,93,12,42,29,6,180,17,9,21,15,0,59,10,6,8,13,3,35,3720,205,388,161,62,4533
LGA40700,145,27,5,1802,1410,191,201,36,15,1857,1349,203,183,23,14,1779,1276,185,192,25,4,1685,822,141,174,18,9,1167,375,133,134,24,5,679,100,71,69,25,6,269,36,24,44,22,3,142,13523,1372,1442,254,112,16709
LGA40910,139,20,10,1021,784,129,148,23,11,1091,806,116,143,15,11,1088,691,81,127,12,7,921,527,63,107,13,3,715,177,43,79,15,6,323,56,21,31,11,4,114,13,18,20,8,0,60,7410,742,1120,162,89,9525
LGA41010,27,5,10,166,149,18,20,0,4,195,121,16,26,3,0,165,127,16,22,0,3,168,93,13,22,6,0,130,44,3,15,3,0,66,9,3,7,3,3,24,5,0,0,3,0,9,1261,98,165,48,30,1591
LGA41060,325,36,33,4074,3754,358,390,40,48,4589,3552,361,370,43,40,4367,3063,323,385,50,45,3862,2132,232,293,38,36,2730,714,155,192,47,26,1140,199,64,88,34,18,400,67,36,45,23,15,177,33686,2434,2981,435,402,39937
LGA41140,46,20,8,391,337,48,66,19,7,476,337,37,75,13,10,475,335,54,61,16,13,479,250,36,88,24,3,400,84,35,51,26,5,194,34,16,27,21,7,96,7,6,14,26,0,61,2978,340,525,199,74,4122
LGA41190,25,10,3,91,57,7,25,12,0,112,59,9,24,4,0,101,54,13,27,10,0,106,45,5,20,8,0,71,11,5,7,7,3,38,8,3,8,0,3,22,0,0,3,5,0,8,479,68,194,87,16,842
LGA41330,9,0,0,68,48,3,6,0,0,59,56,0,17,0,4,80,46,4,17,4,0,61,43,5,11,4,3,64,15,0,6,0,0,28,4,3,6,3,0,20,5,0,5,4,0,12,537,25,77,23,13,675
LGA41560,42,10,9,400,374,49,81,4,12,517,405,44,59,16,9,537,344,26,83,16,17,482,261,27,71,17,9,386,66,21,43,3,6,142,11,6,16,10,3,47,12,10,15,9,5,50,3351,266,519,110,105,4350
LGA41750,8,9,0,36,25,0,18,6,7,54,22,4,14,15,3,57,36,8,14,18,0,71,23,7,19,12,0,55,6,4,5,0,0,21,0,3,0,0,0,7,0,0,0,0,0,4,226,37,102,71,10,446
LGA41830,4,4,0,73,73,7,10,3,0,90,59,6,5,4,4,71,52,9,15,11,0,83,31,8,21,6,0,59,15,3,7,3,0,26,5,3,7,0,0,13,0,3,0,0,0,5,514,46,79,43,9,686
LGA41960,7,3,0,42,24,14,10,0,0,51,25,8,17,12,3,58,36,3,15,0,0,53,19,7,11,3,0,44,7,3,7,3,0,27,7,0,5,0,0,9,0,0,3,0,0,5,248,35,105,27,4,424
LGA42030,52,12,5,648,585,63,82,7,8,753,578,45,84,9,7,738,549,51,85,8,12,706,290,31,75,8,10,411,114,13,39,5,3,168,31,6,9,4,3,61,10,3,9,3,3,29,5581,349,608,88,79,6699
LGA42110,31,24,7,133,80,15,29,16,0,135,94,12,43,20,4,174,109,20,44,14,3,190,61,9,40,22,3,140,19,3,13,23,0,59,6,3,12,4,0,35,7,0,3,20,4,41,783,85,271,176,19,1333
LGA42250,29,22,0,273,227,36,44,14,3,322,211,34,56,14,0,318,164,22,51,12,3,246,115,29,42,16,4,207,31,11,51,22,3,117,13,5,29,16,0,62,8,3,16,25,8,61,1731,200,369,176,30,2507
LGA42600,152,15,12,1117,893,138,147,19,8,1210,879,133,168,25,9,1213,889,134,157,29,10,1211,599,116,127,31,17,886,244,75,92,29,11,450,68,28,29,14,3,151,35,21,17,13,8,90,9827,993,1195,217,130,12350
LGA42750,33,8,0,191,164,20,40,11,5,235,162,23,47,12,0,244,164,23,60,15,3,264,104,22,50,17,3,203,46,15,46,25,4,134,16,3,18,12,3,55,11,3,12,8,0,35,1364,137,389,133,22,2049
LGA43080,11,4,0,53,27,5,15,8,3,67,37,3,21,5,0,68,40,0,18,7,0,68,14,3,18,7,0,46,10,0,12,10,0,28,4,0,5,0,0,10,0,0,3,0,0,10,272,37,124,60,12,497
LGA43220,11,3,0,47,32,9,12,4,0,56,37,6,12,13,0,69,28,4,16,8,7,70,14,3,9,4,3,40,7,3,3,3,0,21,3,0,3,3,3,11,3,0,6,0,3,8,310,44,113,64,16,549
LGA43360,16,4,0,82,56,3,10,8,0,79,60,8,15,11,0,93,58,5,18,6,4,102,53,8,37,21,4,113,25,8,18,12,0,57,6,3,14,3,0,28,0,0,14,11,0,26,570,66,161,85,21,897
LGA43650,61,15,10,589,423,52,66,24,3,558,425,34,74,19,8,566,407,43,85,13,4,554,233,26,77,28,6,374,70,20,56,26,5,183,33,16,25,25,0,98,15,6,13,23,3,58,3855,315,566,207,64,5010
LGA43710,25,12,3,169,142,17,36,17,5,220,84,31,45,13,3,171,99,22,48,13,4,191,72,5,36,20,6,139,20,9,20,21,0,67,5,5,17,14,0,41,3,4,12,10,3,26,932,161,319,141,36,1591
LGA43790,71,13,4,479,391,42,80,10,13,532,379,48,71,30,6,534,357,48,68,30,13,518,268,36,55,48,4,407,70,26,57,29,3,185,30,16,16,19,7,81,10,6,16,30,3,69,3285,321,534,239,72,4455
LGA43920,44,9,5,239,140,33,40,9,13,234,127,26,42,18,3,216,99,20,40,10,3,162,58,17,37,14,3,128,32,14,30,4,0,77,8,7,12,7,0,36,3,3,15,3,0,21,1311,168,352,101,39,1966
LGA44000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
LGA44060,232,28,11,2201,1897,195,227,36,19,2380,1796,156,246,31,21,2246,1662,140,246,29,19,2104,1165,127,171,17,18,1504,434,69,149,34,6,695,128,28,57,9,3,225,36,12,27,22,13,110,18036,1208,1956,278,201,21670
LGA44210,47,10,3,226,189,29,62,21,0,302,198,21,50,26,9,309,212,25,50,30,3,315,145,17,66,18,6,256,57,13,33,18,3,121,16,6,19,15,3,60,14,5,12,14,7,45,1637,152,392,163,49,2397
LGA44340,217,33,13,3043,2662,201,218,38,17,3133,2643,188,268,30,17,3148,2486,146,239,23,14,2907,1590,128,202,39,18,1975,597,88,146,25,10,870,168,37,63,23,10,300,71,25,40,24,10,172,23873,1235,1866,304,195,27472
LGA44550,132,29,9,1090,883,134,171,29,9,1235,886,93,156,38,13,1188,704,90,176,27,13,1005,476,65,129,28,8,698,169,41,101,27,12,346,38,22,49,28,0,141,24,19,15,22,0,89,8146,697,1228,268,133,10479
LGA44620,61,14,7,1050,1116,69,71,19,9,1283,978,94,75,12,11,1171,901,80,99,22,10,1113,648,66,78,20,11,828,193,41,42,10,0,296,59,4,20,5,0,88,19,6,14,9,0,48,9146,569,665,132,116,10624
LGA44830,13,6,5,68,54,14,17,16,3,110,71,7,18,24,0,125,70,5,46,17,3,140,49,17,35,12,7,118,20,5,20,8,0,61,6,0,9,14,0,31,0,3,5,12,3,28,516,68,204,132,20,945
LGA45040,56,16,7,937,876,53,88,29,15,1069,772,58,109,22,17,972,755,67,78,21,20,934,440,37,67,30,8,576,166,16,45,24,9,248,49,8,26,12,4,97,32,5,11,19,12,70,7654,359,608,203,149,8977
