SA3_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
11503,87,22,3,454,246,124,108,20,14,508,235,91,110,28,9,478,197,74,94,29,3,400,125,78,84,14,4,304,82,48,46,24,6,206,22,20,29,6,5,89,15,10,20,24,0,65,2389,669,776,208,68,4114
11504,124,23,8,1226,786,205,135,22,9,1141,674,176,109,22,6,997,588,148,106,21,12,872,417,74,65,16,6,579,153,53,40,11,3,257,57,24,15,19,0,116,14,12,10,18,0,51,8596,1265,881,205,83,11035
11601,331,56,41,5405,4295,490,343,61,54,5245,4235,493,346,52,54,5174,3676,404,270,52,40,4430,2392,286,244,36,30,2995,883,151,124,35,20,1218,228,55,58,16,4,360,70,23,30,18,14,149,41320,3340,2599,501,462,48225
11602,241,42,9,1750,1169,237,245,32,16,1693,987,203,200,35,13,1439,823,120,150,28,13,1139,495,97,113,27,6,734,199,64,63,18,7,351,54,30,32,8,3,134,15,8,10,4,4,46,11464,1495,1611,286,142,14999
11603,232,31,58,5428,4584,309,211,26,51,5192,4285,245,224,26,38,4827,3550,201,159,31,36,3978,2109,145,118,23,23,2424,766,75,61,15,20,931,175,32,25,3,10,242,39,11,7,10,12,68,40763,1896,1614,266,452,44987
11701,212,24,52,7507,6572,406,199,16,64,7254,5932,334,218,22,48,6555,4712,272,175,15,58,5235,2538,184,131,26,24,2905,985,121,71,20,31,1222,247,43,39,5,4,339,68,39,18,19,4,148,54607,2438,1562,257,504,59366
11702,292,24,33,2590,1828,368,279,29,31,2538,1787,339,281,42,21,2479,1537,253,240,24,17,2067,978,151,179,37,9,1366,459,111,101,24,17,706,122,47,37,14,5,228,47,23,22,15,3,105,19079,2214,2242,300,247,24081
11703,2225,199,311,58671,41700,3560,2093,209,297,47856,33094,3112,2047,195,302,38756,24742,2420,1761,166,203,29288,14587,1551,1345,142,180,17808,6086,996,842,128,108,8161,1920,453,353,72,77,2870,696,243,213,92,92,1325,451305,23020,16546,1976,3194,496038
11801,638,98,41,4996,2866,872,715,110,57,4619,2587,793,623,87,40,4131,2164,609,554,79,44,3452,1563,486,461,72,33,2614,925,404,364,81,26,1806,342,213,196,64,23,846,178,163,123,71,18,551,37910,5813,5391,871,471,50448
11802,421,48,38,4562,3392,456,450,59,36,4396,3225,438,450,56,50,4217,2866,343,363,51,38,3663,1954,254,288,50,27,2581,878,122,170,35,18,1232,331,68,88,17,15,512,118,31,55,31,13,243,35238,3104,3347,510,381,42583
